num_topics, sample_size, lda_coherence_score
3,90,-9.63
4,90,-9.67
5,90,-9.6
6,90,-9.63
7,90,-9.62
8,90,-9.61
9,90,-9.65
10,90,-9.62
11,90,-9.66
12,90,-9.57
3,150,-17.46
4,150,-17.43
5,150,-17.43
6,150,-17.42
7,150,-17.42
8,150,-17.41
9,150,-17.41
10,150,-17.42
11,150,-17.42
12,150,-17.44
3,300,-15.76
4,300,-16.02
5,300,-16.04
6,300,-15.4
7,300,-15.15
8,300,-15.51
9,300,-15.28
10,300,-15.15
11,300,-15.16
12,300,-14.84
3,400,-15.81
4,400,-17.26
5,400,-17.33
6,400,-16.37
7,400,-15.42
8,400,-14.57
9,400,-16.04
10,400,-15.1
11,400,-15.64
12,400,-15.21
3,500,-15.51
4,500,-15.64
5,500,-16.68
6,500,-16.22
7,500,-16.62
8,500,-16.3
9,500,-15.94
10,500,-16.22
11,500,-15.59
12,500,-15.77
3,600,-14.13
4,600,-14.4
5,600,-14.29
6,600,-15.72
7,600,-15.33
8,600,-16.12
9,600,-15.7
10,600,-14.83
11,600,-16.03
12,600,-15.09
3,900,-14.48
4,900,-14.35
5,900,-14.81
6,900,-15.46
7,900,-15.48
8,900,-15.51
9,900,-15.74
10,900,-15.3
11,900,-15.53
12,900,-15.82
3,1200,-11.17
4,1200,-12.18
5,1200,-13.18
6,1200,-13.17
7,1200,-14.34
8,1200,-14.54
9,1200,-14.81
10,1200,-14.62
11,1200,-14.99
12,1200,-14.3
3,1800,-10.07
4,1800,-11.75
5,1800,-12.25
6,1800,-12.23
7,1800,-12.34
8,1800,-13.37
9,1800,-13.04
10,1800,-13.32
11,1800,-12.89
12,1800,-13.25
3,2400,-9.52
4,2400,-11.1
5,2400,-11.31
6,2400,-10.64
7,2400,-11.24
8,2400,-11.73
9,2400,-10.88
10,2400,-12.38
11,2400,-11.05
12,2400,-11.91
3,3000,-5.94
4,3000,-7.44
5,3000,-7.82
6,3000,-9.78
7,3000,-10.13
8,3000,-10.73
9,3000,-9.7
10,3000,-11.33
11,3000,-11.42
12,3000,-11.3
3,4000,-7.26
4,4000,-7.64
5,4000,-8.18
6,4000,-8.3
7,4000,-9.3
8,4000,-9.42
9,4000,-10.18
10,4000,-9.38
11,4000,-10.18
12,4000,-10.06
3,5000,-4.05
4,5000,-6.86
5,5000,-8.6
6,5000,-8.15
7,5000,-7.55
8,5000,-8.89
9,5000,-8.64
10,5000,-8.35
11,5000,-8.0
12,5000,-9.7
3,6000,-7.13
4,6000,-5.61
5,6000,-6.4
6,6000,-6.16
7,6000,-6.9
8,6000,-7.87
9,6000,-8.11
10,6000,-8.2
11,6000,-9.03
12,6000,-8.91
3,8000,-4.23
4,8000,-4.25
5,8000,-6.21
6,8000,-6.39
7,8000,-6.24
8,8000,-7.05
9,8000,-7.07
10,8000,-7.65
11,8000,-9.15
12,8000,-8.14
3,10000,-3.86
4,10000,-6.47
5,10000,-6.26
6,10000,-6.71
7,10000,-6.82
8,10000,-7.47
9,10000,-7.34
10,10000,-8.45
11,10000,-7.36
12,10000,-9.5
3,12000,-3.89
4,12000,-5.46
5,12000,-4.31
6,12000,-5.66
7,12000,-6.61
8,12000,-6.73
9,12000,-8.15
10,12000,-7.42
11,12000,-6.92
12,12000,-8.55
3,14000,-4.48
4,14000,-4.5
5,14000,-5.39
6,14000,-6.11
7,14000,-5.92
8,14000,-6.22
9,14000,-6.56
10,14000,-7.12
11,14000,-7.31
12,14000,-7.27
3,16000,-4.24
4,16000,-4.48
5,16000,-5.24
6,16000,-5.82
7,16000,-6.72
8,16000,-5.32
9,16000,-6.36
10,16000,-6.9
11,16000,-7.09
12,16000,-6.45
3,18000,-3.95
4,18000,-4.65
5,18000,-4.85
6,18000,-5.61
7,18000,-5.63
8,18000,-6.66
9,18000,-5.72
10,18000,-6.75
11,18000,-6.92
12,18000,-7.07
3,20000,-3.65
4,20000,-3.68
5,20000,-5.08
6,20000,-4.69
7,20000,-5.1
8,20000,-5.49
9,20000,-6.36
10,20000,-7.43
11,20000,-6.32
12,20000,-7.69
num_topics, sample_size, lda_coherence_score
3,18000,-3.95
4,18000,-4.65
5,18000,-4.85
6,18000,-5.61
7,18000,-5.63
8,18000,-6.66
9,18000,-5.72
10,18000,-6.75
11,18000,-6.92
12,18000,-7.07
3,20000,-3.65
4,20000,-3.68
5,20000,-5.08
6,20000,-4.69
7,20000,-5.1
8,20000,-5.49
9,20000,-6.36
10,20000,-7.43
11,20000,-6.32
12,20000,-7.69
