How did Lincoln handle Fort Sumter?	He didn't send troops, he made the South decide whether to attack or not.
Who was the first state to secede and when?&nbsp;&nbsp;What was their secession document called?	South Carolina; December 20, 1860; Ordinance of Secession
What six states seceded after the first?	Texas, Mississippi, Florida, Alabama, Georgia, and Louisianna
When did the Civil War begin and where?	Fort Sumter, off the coast of South Carolina; South Carolina attacked on April 12, 1861
What was the result of Fort Sumter?	Four other states seceded: Tennessee, Arkansas, North Carolina, and Virginia; the war started
How did Lincoln abuse his executive power?	"Calling for 75,000 troops to put down the ""insurrection"" in the South, authorizing spending for the war, and suspending the privilege of Habeus Corpus"
What is Habeus Corpus?	The right for people to know what they are getting arrested for, and getting a fair trial
Who was the Southern President, and where was the capital?	Jefferson Davis, Richmond
Who were the border states, and how were they handled?	West Virginia, Maryland, Delaware, Missouri, and Kentucky.&nbsp;&nbsp;Maryland was put into martial law to keep it.&nbsp;&nbsp;Missouri had internal conflict.&nbsp;&nbsp;Delaware, West Virginia both wanted to be Union.&nbsp;&nbsp;Kentucky was neutral, and did nothing, but both sides claimed.&nbsp;&nbsp;Lincoln didn't want to emancipate slaves to alienate the border states that still had it.
What were the Southern advantages?	They were fighting a defensive war, had the most talented officers, military was already trained in gun use, shorter travel distances.&nbsp;&nbsp;
What were Southern disadvantages?	Their government&nbsp;&nbsp;was so state focused that there was little cooperation.&nbsp;&nbsp;Tiny navy.&nbsp;&nbsp;Only had Tregdar Iron Works for factory.&nbsp;&nbsp;Dependant on Europe for help.&nbsp;&nbsp;Creating country and fighting at the same time.
What were the Northern advantages?	Had 23 states, and 22 million people.&nbsp;&nbsp;Lots of economy, money, and factory.&nbsp;&nbsp;Had a nice navy.
What were Northern disadvantages?	They had tons of immigrants that didn't want to join because they thought slaves would take their jobs.
What was Jefferson Davis like?	He was very egotistical and hard to work with.&nbsp;&nbsp;He didn't get along with Lee, but he did have a lot of military experience.
Who was the vice-president of the Confederacy?	Alexander H. Stephens.
What was the Battle of Bull Run?	First big battle of the Civil War.&nbsp;&nbsp;It was a hill in Manassas, Virginia.
Who were the leaders in the Battle of Bull Run?	McDowell vs. Stonewall Jackson
What was McDowell's strategy for the Battle of Bull Run?	To rush in, own the Confeds, and then take Richmond.
What was the outcome of the First Battle of Bull Run?	Stonewall Jackson owns McDowell.&nbsp;&nbsp;McDowell retreats and gets demoted.&nbsp;&nbsp;McClellan replaces him.
What was the Second Battle of Bull Run?	Stonewall wanted to take DC.&nbsp;&nbsp;He pushes and destroys the Union (under Pope), but doesn't take DC (huge blunder).
Who came up with the Anaconda Plan?	Winfield Scott?
What were the three points of the Anaconda Plan?	Take the Mississippi, blockade Southern ports, and crush Richmond.
What was the Peninsula Campaign?	Under George McClellan after long training, he took his troops along the peninsula to take Richmond from the South.&nbsp;&nbsp;McClellan gets owned and Pope takes his spot.
